id_A,id_B,predicted_match,hotel_name,address,city,country,latitude,longitude,rating,reviews_count,enriched_category_stars,enriched_review_score,enriched_amenities
A00013,B00009,1,Hotel Paulista Saint,Avenida Central 6230,Belo Horizonte,BR,-19.90801,-43.893659,4.8,706.0,5.0,9.4,"pet_friendly, spa, gym"
A00096,B00085,1,Inn Seine Saint,"Avenue Europa, 9562",Belo Horizonte,BR,-19.955674,-43.857453,3.8,387.0,5.0,8.7,"air_conditioning, restaurant, wifi, pool"
A00127,B00116,1,Residency Europa,"Rua das Flores, 2833",Belo Horizonte,BR,-19.851704,-43.914901,3.8,936.0,4.0,7.8,"gym, restaurant, bar, parking, pool, wifi"
A00130,B00119,1,Inn Gaudí,"Rua Copacabana, 1066",Belo Horizonte,BR,-19.934105,-43.871378,3.8,53.0,3.0,7.2,"pool, bar, wifi, gym, restaurant"
A00148,B00137,1,Grand Hotel Cathedral & Spa,"Avenue Central, 8042",Belo Horizonte,BR,-19.873712,-43.985932,4.3,93.0,3.0,7.0,"pool, spa, parking"
A00156,B00145,1,Pousada Seine Saint,"Praça Copacabana, 5393",Belo Horizonte,BR,-19.917539,-43.890322,3.2,148.0,4.0,8.0,"pool, air_conditioning, parking, pet_friendly"
A00162,B00151,1,Palace Central,"Avenida Copacabana, 3565",Belo Horizonte,BR,-19.939555,-43.944223,4.5,842.0,3.0,7.3,"spa, wifi, gym, parking, pool"
A00163,B00152,1,Residency Paulista,"Rua Europa, 1914",Belo Horizonte,BR,-20.0127,-43.780297,5.0,332.0,4.0,9.1,"wifi, spa, gym"
A00183,B00172,1,Inn Europa,"Street das Flores, 9580",Belo Horizonte,BR,-19.872694,-43.793548,3.8,602.0,3.0,7.2,"restaurant, wifi, spa, bar, gym"
A00187,B00176,1,Inn Lumière,"St Augusta, 1391",Belo Horizonte,BR,-19.924547,-43.940387,4.7,492.0,4.0,9.0,"wifi, restaurant, spa"
A00188,B00177,1,Pousada Copacabana,"Avenue Central, 7474",Belo Horizonte,BR,-19.994314,-43.912898,3.0,590.0,5.0,9.1,"restaurant, pool, air_conditioning, parking"
