id_A,id_B,is_match
A00126,B00115,1
A00280,B00269,1
A00297,B00286,1
A00256,B00245,1
A00031,B00280,0
A00221,B00210,1
A00431,B00420,1
A00369,B00358,1
A00275,B00264,1
A00188,B00177,1
A00270,B00355,0
A00183,B00172,1
A00360,B00349,1
A00303,B00292,1
A00246,B00405,0
A00123,B00112,1
A00342,B00331,1
A00273,B00379,0
A00198,B00022,0
A00152,B00141,1
A00235,B00224,1
A00207,B00196,1
A00251,B00240,1
A00424,B00413,1
A00233,B00222,1
A00318,B00307,1
A00130,B00119,1
A00095,B00084,1
A00121,B00110,1
A00376,B00365,1
A00235,B00273,0
A00236,B00225,1
A00430,B00419,1
A00201,B00135,0
A00308,B00081,0
A00368,B00357,1
A00223,B00322,0
A00203,B00192,1
A00091,B00080,1
A00413,B00402,1
A00192,B00181,1
A00312,B00301,1
A00267,B00275,0
A00292,B00222,0
A00388,B00377,1
A00397,B00386,1
A00041,B00348,0
A00189,B00178,1
A00160,B00149,1
A00176,B00165,1
A00230,B00219,1
A00434,B00423,1
A00348,B00337,1
A00216,B00205,1
A00385,B00374,1
A00088,B00077,1
A00112,B00101,1
A00234,B00223,1
A00216,B00073,0
A00407,B00396,1
A00053,B00399,0
A00268,B00257,1
A00035,B00270,0
A00092,B00081,1
A00331,B00320,1
A00222,B00211,1
A00204,B00193,1
A00382,B00371,1
A00068,B00028,0
A00281,B00270,1
A00130,B00328,0
A00159,B00148,1
A00128,B00117,1
A00213,B00202,1
A00254,B00243,1
A00426,B00268,0
A00252,B00241,1
A00280,B00216,0
A00429,B00265,0
A00352,B00341,1
A00141,B00130,1
A00077,B00066,1
A00283,B00272,1
A00157,B00146,1
A00032,B00296,0
A00285,B00274,1
A00231,B00220,1
A00191,B00142,0
A00398,B00387,1
A00310,B00299,1
A00288,B00277,1
A00334,B00301,0
A00084,B00073,1
A00097,B00086,1
A00379,B00324,0
A00202,B00191,1
A00098,B00250,0
A00306,B00295,1
A00188,B00262,0
A00381,B00370,1
A00357,B00346,1
A00292,B00281,1
A00363,B00352,1
A00223,B00212,1
A00218,B00207,1
A00249,B00238,1
A00138,B00127,1
A00099,B00088,1
A00311,B00300,1
A00246,B00235,1
A00149,B00138,1
A00403,B00392,1
A00313,B00302,1
A00122,B00343,0
A00272,B00240,0
A00372,B00361,1
A00320,B00309,1
A00319,B00335,0
A00375,B00364,1
A00153,B00142,1
A00109,B00000,0
A00434,B00321,0
A00174,B00163,1
A00132,B00121,1
A00153,B00208,0
A00200,B00189,1
A00090,B00079,1
A00107,B00096,1
A00412,B00401,1
A00346,B00335,1
A00105,B00094,1
A00409,B00398,1
A00115,B00104,1
A00102,B00091,1
A00291,B00280,1
A00197,B00186,1
A00080,B00069,1
A00222,B00410,0
A00133,B00122,1
A00263,B00252,1
A00085,B00254,0
A00373,B00321,0
A00120,B00109,1
A00307,B00296,1
A00171,B00407,0
A00393,B00382,1
A00145,B00340,0
A00279,B00268,1
A00433,B00422,1
A00398,B00162,0
A00146,B00261,0
A00338,B00327,1
A00248,B00237,1
A00082,B00071,1
A00258,B00025,0
A00374,B00363,1
A00399,B00388,1
A00253,B00242,1
A00077,B00263,0
A00353,B00342,1
A00277,B00266,1
A00051,B00413,0
A00125,B00114,1
A00261,B00250,1
A00135,B00124,1
A00111,B00100,1
A00231,B00027,0
A00184,B00173,1
A00243,B00232,1
A00215,B00204,1
A00259,B00248,1
A00341,B00330,1
A00419,B00408,1
A00078,B00067,1
A00197,B00315,0
A00344,B00333,1
A00239,B00228,1
A00380,B00369,1
A00094,B00264,0
A00392,B00381,1
A00026,B00124,0
A00373,B00362,1
A00220,B00209,1
A00359,B00348,1
A00408,B00397,1
A00389,B00378,1
A00083,B00072,1
A00200,B00205,0
A00232,B00221,1
A00304,B00402,0
A00116,B00105,1
A00030,B00126,0
A00196,B00185,1
A00208,B00197,1
A00391,B00380,1
A00170,B00159,1
A00136,B00125,1
A00240,B00229,1
A00315,B00304,1
A00103,B00092,1
A00071,B00162,0
A00336,B00325,1
A00106,B00306,0
A00156,B00145,1
A00093,B00082,1
A00408,B00216,0
A00274,B00263,1
A00257,B00246,1
A00418,B00407,1
A00257,B00265,0
A00238,B00227,1
A00137,B00126,1
A00282,B00271,1
A00139,B00229,0
A00402,B00233,0
A00410,B00399,1
A00427,B00416,1
A00324,B00313,1
A00298,B00287,1
A00300,B00289,1
A00421,B00410,1
A00237,B00226,1
A00186,B00175,1
A00364,B00353,1
A00356,B00345,1
A00177,B00166,1
A00054,B00218,0
A00295,B00284,1
A00091,B00349,0
A00296,B00285,1
A00371,B00360,1
A00154,B00143,1
A00124,B00113,1
A00211,B00361,0
A00339,B00328,1
A00179,B00168,1
A00333,B00322,1
A00134,B00123,1
A00342,B00068,0
A00090,B00339,0
A00245,B00234,1
A00328,B00317,1
A00101,B00090,1
A00155,B00144,1
A00319,B00308,1
A00302,B00291,1
A00429,B00418,1
A00173,B00162,1
A00422,B00411,1
A00196,B00344,0
A00164,B00153,1
A00145,B00134,1
A00378,B00367,1
A00413,B00293,0
A00225,B00214,1
A00127,B00116,1
A00219,B00208,1
A00262,B00251,1
A00406,B00395,1
A00425,B00414,1
A00358,B00347,1
A00179,B00321,0
A00269,B00258,1
A00396,B00385,1
A00100,B00344,0
A00370,B00359,1
A00109,B00098,1
A00190,B00179,1
A00265,B00200,0
A00283,B00157,0
A00370,B00179,0
A00214,B00203,1
A00165,B00154,1
A00329,B00318,1
A00404,B00393,1
A00435,B00424,1
A00229,B00218,1
A00314,B00303,1
A00330,B00319,1
A00402,B00391,1
A00247,B00236,1
