id_A,id_B,cleaned_hotel_name_A,cleaned_hotel_name_B,cleaned_address_A,cleaned_address_B,latitude_A,longitude_A,latitude_B,longitude_B,geo_distance_km,name_similarity,address_similarity,predicted_match,hotel_name_A,city_A,country_A,hotel_name_B,city_B,country_B,enriched_category_stars_A,enriched_review_score_A,enriched_amenities_A,enriched_category_stars_B,enriched_review_score_B,enriched_amenities_B
A00095,B00084,lumière,lumière,sé 5692,sé 5692,38.78229,-9.145846,38.779835,-9.145381,0.2759432187767441,1.0,1.0,1,Hotel Lumière & Spa Boutique,Lisboa,PT,Hotel Lumière,Lisboa,PT,5,8.3,"wifi, air_conditioning, spa",5,8.1,"pool, bar, restaurant"
A00100,B00089,seine,seine,flores 5746,flores 5746,38.761831,-9.109375,38.759806,-9.108591,0.23520704196104744,1.0,1.0,1,Inn Seine,Lisboa,PT,Inn Seine,Lisboa,PT,4,7.8,"restaurant, air_conditioning, pet_friendly",4,7.8,"restaurant, air_conditioning, pet_friendly"
A00101,B00090,lumière,lumière,liberdade 2787,liberdade 2787,38.632794,-9.201008,38.629665,-9.201317,0.3489626962025831,1.0,1.0,1,Hotel Lumière,Lisboa,PT,Hotel Lumière,Lisboa,PT,5,8.1,"pool, bar, restaurant",5,8.1,"pool, bar, restaurant"
A00112,B00101,liberdade,liberdade,sé 5714,sé 5714,38.656211,-9.048852,38.654979,-9.048648,0.1381326823103817,1.0,1.0,1,Palace Liberdade,Lisboa,PT,Palace Liberdade,Lisboa,PT,3,7.9,"bar, wifi, parking",3,7.9,"bar, wifi, parking"
A00122,B00111,seine,seine,flores 1762,flores 1762,38.616968,-9.140814,38.615173,-9.140391,0.2029501241577954,1.0,1.0,1,Inn Seine,Lisboa,PT,Inn Seine,Lisboa,PT,4,7.8,"restaurant, air_conditioning, pet_friendly",4,7.8,"restaurant, air_conditioning, pet_friendly"
A00135,B00124,seine,seine,europa 6167,europa 6167,38.729806,-9.009287,38.730568,-9.008767,0.095988850057145,1.0,1.0,1,Suites Seine,Lisboa,PT,Suites Seine,Lisboa,PT,3,7.8,"wifi, pet_friendly, gym, parking, restaurant",3,7.8,"wifi, pet_friendly, gym, parking, restaurant"
A00138,B00127,augusta,augusta,andradas 1626,andradas 1626,38.656378,-9.203833,38.655695,-9.205641,0.17439919108595803,1.0,1.0,1,Pousada Augusta,Lisboa,PT,Pousada Augusta,Lisboa,PT,4,9.5,"pool, bar, gym",4,9.5,"pool, bar, gym"
A00142,B00131,gaudí,gaudí,flores 5955,flores 5955,38.72501,-9.149853,38.72516,-9.146774,0.26762183517961785,1.0,1.0,1,Hotel Gaudí Saint,Lisboa,PT,Hotel Gaudí Saint,Lisboa,PT,5,9.3,"parking, bar, air_conditioning",5,9.3,"parking, bar, air_conditioning"
A00154,B00143,seine,seine,europa 8045,europa 8045,38.65919,-9.00893,38.658448,-9.006387,0.2357194375685017,1.0,1.0,1,Pousada Seine & Spa,Lisboa,PT,Pousada Seine,Lisboa,PT,4,8.9,"gym, spa, pool, restaurant",4,7.0,"wifi, gym, pool, pet_friendly"
A00175,B00164,central,central,copacabana 6645,copacabana 6645,38.688211,-9.092844,38.689311,-9.087835,0.45162746066348686,1.0,1.0,1,Hotel Central II,Lisboa,PT, Central II,Lisboa,PT,3,8.6,"parking, spa, restaurant, bar, gym, wifi",3,8.9,"air_conditioning, bar, pet_friendly, spa"
A00192,B00181,gaudí,gaudí,andradas 9540,andradas 9540,38.780621,-9.202851,38.780692,-9.201705,0.09965073688155851,1.0,1.0,1,Residency Gaudí Saint,Lisboa,PT,Residency Gaudí Saint,Lisboa,PT,4,9.6,"bar, restaurant, pet_friendly",4,9.6,"bar, restaurant, pet_friendly"
A00196,B00185,augusta,augusta,sé 8235,sé 8235,38.760316,-9.126573,38.760098,-9.127879,0.11580453478266785,1.0,1.0,1,Residency Augusta Saint,Lisboa,PT,Residency Augusta Saint,Lisboa,PT,4,7.4,"pet_friendly, air_conditioning, gym",4,7.4,"pet_friendly, air_conditioning, gym"
A00217,B00206,paulista,paulista,central 3840,central 3840,38.65531,-9.163672,38.65965,-9.164276,0.4854274761017145,1.0,1.0,1,Suites Paulista Saint,Lisboa,PT,Suites Paulista Saint,Lisboa,PT,3,8.1,"pool, air_conditioning, spa, pet_friendly, wifi, parking",3,8.1,"pool, air_conditioning, spa, pet_friendly, wifi, parking"
A00227,B00216,liberdade,liberdade,república 4432,república 4432,38.708387,-9.134837,38.709054,-9.134018,0.10271732409892204,1.0,1.0,1,Suites Liberdade,Lisboa,PT,Suites Liberdade & Spa,Lisboa,PT,3,9.2,"pet_friendly, pool, gym, bar, wifi",5,7.9,"pool, spa, gym, air_conditioning, restaurant, parking"
A00239,B00228,augusta,augusta,liberdade 2823,liberdade 2823,38.846413,-9.129267,38.848039,-9.132082,0.30351151107897034,1.0,1.0,1,Grand Hotel Augusta II,Lisboa,PT,Grand Hotel Augusta II,Lisboa,PT,4,8.5,"wifi, pet_friendly, air_conditioning, spa",4,8.5,"wifi, pet_friendly, air_conditioning, spa"
A00246,B00235,seine,seine,liberdade 5926,liberdade 5926,38.693375,-9.068343,38.695083,-9.069473,0.2137464145821268,1.0,1.0,1,Inn Seine,Lisboa,PT,Inn Seine,Lisboa,PT,4,7.8,"restaurant, air_conditioning, pet_friendly",4,7.8,"restaurant, air_conditioning, pet_friendly"
A00280,B00269,augusta,augusta,liberdade 9011,liberdade 9011,38.710336,-9.10248,38.707299,-9.101546,0.34728732411212915,1.0,1.0,1,Inn Augusta II,Lisboa,PT,Inn Augusta II Boutique,Lisboa,PT,5,8.5,"spa, gym, pool",5,8.8,"pet_friendly, restaurant, parking, spa"
A00300,B00289,liberdade,liberdade,central 615,central 615,38.649469,-9.185905,38.651358,-9.185849,0.2101035038010413,1.0,1.0,1,Hotel Liberdade,Lisboa,PT,Hotel Liberdade,Lisboa,PT,3,8.2,"spa, wifi, pool, restaurant",3,8.2,"spa, wifi, pool, restaurant"
